id,title,date,category,url,text
1,"Hijackers divert Libyan passenger jet to Malta","2016-12-23","Crime and law","https://en.wikinews.org/wiki/Hijackers_divert_Libyan_passenger_jet_to_Malta","Two hijackers seized an Afriqiyah Airways jet this morning, diverting it away from its domestic Libyan route to Malta. The men surrendered to Maltese custody. Flight 209, an Airbus A320, was flying from Sabha to Tripoli. Men identified as Suhaha Mussa and Ahmed Alid, armed with what appeared to be a grenade and two pistols, took control of the aircraft. The airline said a proposal to land in Libya was rejected by the hijackers, who took the plane to nearby Malta owing to fuel limits. After landing, the plane's engines were not shut off for around ninety minutes. Malta International Airport was closed after the arrival. Negotiators and security forces met the plane, carrying 111 passengers and at least six crew, at the airport. The hijackers released the passengers, one of whom was an infant, and most crewmembers before surrendering. The hijacking appears to be in favour of Libya's deceased, deposed former leader Muammar al-Gaddafi. One hijacker waved a flag from the Gaddafi regime. Libyan news station Channel TV said it spoke by phone to one hijacker, quoting him as saying ""We took this measure to declare and promote our new party."" Channel TV reported the man said he had formed a new group called al-Fateh al-Jadid, which means ""The New al-Fateh"". Al-Gaddafi renamed September as al-Fateh in honour of his September 1969 coup; al-Fateh came to be a term closely associated with him. There were reports, including comments by a Libyan minister, the hijackers sought political asylum in Malta, something Maltese Prime Minister Joseph Muscat denied. Muscat, who tweeted throughout today's events, told a press conference the hostages would be questioned over several hours and then flown home by a replacement Afriqiyah Airways plane. Libyan foreign minister Taher Siala, allied to the Government of National Accord, said the two hijackers intended to form a political party allied to Gaddafi, who died during a 2011 uprising. Gaddafi used the same green flag as displayed by the hijackers from 1977 until his death. One publication in Germany claimed the release of Saif al-Gaddafi was demanded. The airline operates a twice-weekly Sabha-Tripoli route, on Fridays and Tuesdays. Friday flights depart at 10:10am, and arrive seventy minutes later. Passengers were being freed by 1:50pm in Malta; at 3:50pm the hijackers surrendered. Muscat spoke to Libyan Prime Minister Faez al-Serraj during the incident, according to Muscat's communications chief Kurt Farrugia. Negotiators reportedly included Libya's transport minister, with Maltese efforts led by commander Jeffrey Curmi of the Armed Forces. The airport has reopened. At least 44 flights were affected, with nine diverted to Sicily, Italy. There were delays to twenty departures and fifteen arrivals. Libya suffered a power vacuum since the 2011 fall of al-Gaddafi. The nation, wealthy due to oil reserves, is split amongst competing governments and parliaments, controlled by rival militants. The present internationally-recognised Government of National Accord is the result of United Nations negotiations. The situation has led to the nation's airports falling under the varying control of numerous armed groups. Libya's main airport was destroyed in 2014 when it caught fire during a battle for its control. Libyan flights are banned from direct entry to European airspace. ""Every airport in Libya is poorly secured"", according to BBC correspondent Rana Jawad. Malta has not seen a large-scale hijacking since November 1985, when an EgyptAir plane was diverted there. After a 24-hour standoff Maltese commandos burst on-board to rescue hostages from three hijackers. The ensuing firefight left 62 dead."
2,"MDC pulls out of Zimbabwe elections","2008-06-22","Politics and conflicts","https://en.wikinews.org/wiki/MDC_pulls_out_of_Zimbabwe_elections","Morgan Tsvangirai, the leader of the Movement for Democratic Change (MDC), Zimbabwe's main opposition party, has said that he will pull out of the race to become the president of Zimbabwe. He said that he is doing this because ""the outcome [of the elections] is determined by... Mugabe himself,"" and is therefore not fair. ""We in the MDC have resolved that we will no longer participate in this violent, illegitimate sham of an election process,"" said Tsvangirai in a press conference made today. ""The courageous people of this country and the people of the MDC have done everything humanly and democratically possible to deliver a new Zimbabwe and a new government."" Tsvangirai also said that governments worldwide should intervene to help improve the situation in the country."
3,"Nokia takes over Symbian OS development","2010-11-10","Science and technology","https://en.wikinews.org/wiki/Nokia_takes_over_Symbian_OS_development","On Monday, Symbian Foundation discontinued Symbian OS, as a result of its lost popularity since Android came to market. The Finnish telecommunications company Nokia, being one of the few hardware manufacturers who use the system on some of the models, announced that it has taken over the operating system's development. Nokia had acquired Symbian Foundation in 2008. Now, the foundation refused to continue the project, because this smartphone operating system had lost its popularity when Android came to market. During the next several months, most Symbian Foundation employees, who were completely governing the project previously, will retire. By April 2011, only the licensing team will stay to oversee the project. The executive director of the Symbian Foundation Tim Holbrow explained the change, saying that ""There has since been a seismic change in the mobile market but also more generally in the economy, which has led to a change in focus for some of our funding board members. The result of this is that the current governance structure for the Symbian platform — the foundation — is no longer appropriate."" Instead, Nokia takes over the development of the system. This is possible because the Symbian OS is currently open source and freely redistributable. In an interview with ZDNet, the head of Nokia smartphone business Jo Harlow said that the takeover was in significant part because Nokia hardware was the major one using the OS. The development environment would be switched to Qt framework for the system to support cross-platform applications use and development. It is unclear whether the licensing of the future releases of the system would remain open-source."
4,"Wales loses all BBC TV and Radio services","2008-09-28","Science and technology","https://en.wikinews.org/wiki/Wales_loses_all_BBC_TV_and_Radio_services","Cardiff, Wales — The British Broadcasting Corporation's (BBC) entire analogue, DTT and Satellite service was taken swiftly off air today for over 7 hours following a massive power failure at Broadcasting House in Llandaff, Cardiff. The outage hit at 10:30UTC this morning, and was further compounded bythe fact thatthe building's back up generators failed to start, bringingthe whole service to a total standstill. BBC1 and BBC2's regional opt-outs for Wales were very quickly fed into another service, relaying BBC Northern Ireland for most ofthe day, while BBC Radio Wales fell silent. The Welsh language broadcasting service, BBC Radio Cymru had to switch to taking a feed from BBC Radio 4's long wave service until 17:05UTC, when service was restored, and BBC News and Sport interactive forthe Principality went offline, with no updates throughout the day."
5,"Heavy snow fall disrupts UK transportation and communications","2009-02-02","Weather","https://en.wikinews.org/wiki/Heavy_snow_fall_disrupts_UK_transportation_and_communications","The heaviest snow to fall for 6 years has caused transport problems in some parts of the United Kingdom, especially in London, where it was the heaviest snow for 18 years. It was caused by cold air travelling westwards towards the British Isles from Poland and Russia. As showers moved across the North Sea towards the east coast of Britain, it fell as snow. Throughout Monday, weather fronts pushed in from the south east in Belgium and France towards the South East of Britain. The weather fronts pushed their way further north and westwards. Almost a foot (30cm) of snow has fallen in the south-east of England, halting train and bus services and making driving treacherous. Flights to and from London's Heathrow and City airports and the outer London Gatwick and Stansted airports are suffering delays and cancellations. In some affected areas, the majority of schools have been closed. The centre of London, which usually sees no snow at all most years, has around 4 in (10 cm) of laying snow, whilst Kent, Sussex and Surrey have up to 10 in (25 cm). The snow reduces further north but has still disrupted travel, with England's Highways Agency advising against car journeys unless essential. The agency had 500 gritters clearing main roads during the night and 600 motorway patrols out in the morning. Stretches of motorway and main road have been blocked by jack-knifed lorries or closed as a pre-emptive measure. The snow caused disruption to British transport websites, with National Rail Enquiries, Transport for London and South West Trains websites all brought down by heavy traffic. The Highways Agency's site was also unavailable and returned with interactive features turned off. People calling and texting during the abortive rush hour jammed the mobile telephone networks. Mobile network '3' said it had seen ""a very steep jump in the number of picture message sent across the network"" whilst T-Mobile UK reported 73% more calls, 21% more texts and 20% more broadband bandwidth being used than usual. The Met Office has a severe weather warning in place for England, Wales and parts of Scotland, with further snow expected across the country later in the week."
6,"Hawaii legislature reaches agreement to suspend gasoline price cap","2006-04-30","Politics and conflicts","https://en.wikinews.org/wiki/Hawaii_legislature_reaches_agreement_to_suspend_gasoline_price_cap","Conference committee negotiators in the Hawaii state legislature have reached agreement on a bill that will suspend Hawaii's controversial gasoline price control law, commonly known as the ""gas cap."" Under the proposed bill created by the conference committee, the current gas cap law would be immediately suspended for an indefinite period. The cap price would continue to be calculated, but the governor would have sole discretion to reinstate the price cap. The bill would also call for increased reporting of profits by oil companies. The bill draft still needs majority approval by both houses (which appears likely), and signature by Governor Linda Lingle. The current law uses wholesale gasoline prices from three Mainland markets to set the maximum price that oil companies can charge for gasoline. Retailers are free to charge whatever they wish. The law was proposed by the Democratic-controlled legislature during a time when oil company profits in Hawaii compared with the Mainland came under intense scrutiny. Republicans, including Lingle, opposed the bill. Since the law went into effect in September 2005, price fluctuations due to the disruption of gasoline supply in the wake of Hurrican Katrina have resulted in gas prices of more than $3.00 a gallon in Honolulu, with significantly higher prices on the Neighbor Islands. Currently prices of unleaded gasoline in Honolulu range from $3.00 to $3.42 per gallon, the highest in the nation. During the current legislative session which expires Thursday, the House of Representatives (the lower house) passed a version calling for outright repeal of the law, while the Senate (the upper house) called for modification of the formula used to calculate the cap. However, in recent weeks, the main proponent of the gasoline price cap law, Senator Ron Menor (D-Mililani), softened his position, allowing for an indefinite suspension of the gas cap. Negotiations between the House and Senate had reached an impasse over the calculation of the cap level. Senate negotiators pushed for a formula that would have set cap levels about 15 to 20 cents lower than the current formula. The leadership of the legislature intervened as the deadline for conference committee reports loomed. Hawaii is the only state in the United States to institute price controls on gasoline in recent years."
7,"Horse found dead along busy street in Atlanta, Georgia ten days after being bought at auction","2025-04-11","Disasters and accidents","https://en.wikinews.org/wiki/Horse_found_dead_along_busy_street_in_Atlanta,_Georgia_ten_days_after_being_bought_at_auction","On Sunday, a horse named Flash was found dead after presumably collapsing on a sidewalk along a busy street in the downtown area of Atlanta, Georgia, US. A video posted to social media appeared to show the animal void of motion near an ATM for Unity National Bank located at the intersection of Peachtree Street and Martin Luther King Jr. Drive, while spectators passed by in shock and astoundment. Jon Birdsong, the owner of the building where the horse was found, stated that authorities attempted to give the horse food and water in an attempt to save it, placing a white tarp over it. The Atlanta Police Department assured the public that it was ""aware of the unfortunate incident,"" after receiving 911 calls at 4:27 a.m. UTC Sunday. One caller told police they had witnessed ""multiple males"" horseback riding through the area earlier in the night. According to Fox 5 Atlanta, the horse was still laying on the sidewalk at 3:15 p.m. UCT, nearly eleven hours later. Police worked jointly with the Atlanta Fire Rescue Department to remove the horse's body. Authorities further advised the public to avoid the area in which the horse's body was found in order to ensure it was removed in a ""safe and respectful"" manner. The Atlanta Police Department stated that they had identified and notified the horse's owner, who expressed belief that the horse may have suffered some sort of ""medical emergency."" It was later stated by Birdsong that the horse was purchased at auction only ten days prior, though as of Monday, it was not immediately clear why the owner brought a horse into downtown Atlanta. According to Atlanta First News, Laurie Wilson, a professional horse trainer based in Cobb County, Georgia, said: ""I find it very unusual to see any horse in downtown Atlanta, much less that situation. [...] I saw nothing as far [sic] nothing as from a neglect standpoint. The horse looked very taken care of. [...] It is weird that it happened in downtown Atlanta, and then the horse is left laying here with no equipment."" No further information was released in regard to how long the horse's body had been there, or the manner in which it died. A local real estate company indicated that they were reviewing security camera footage available to them to help answer questions regarding the horse's death, with help from the city's agricultural department and animal control center. As of Monday, no criminal charges had been filed in relation to the horse's death. An auction in Tennessee, had been seen in videos of individuals riding horses during the city's 404 Day festivities. However, it is unclear if this event was related to the incident. The original statement made by police said that they were called about the horse at 12:27 a.m. local time on Sunday. The horse was still on the sidewalk as of 11:15 a.m. local time."
8,"Greek singer Demis Roussos dies aged 68","2015-01-27","Obituaries","https://en.wikinews.org/wiki/Greek_singer_Demis_Roussos_dies_aged_68","Greek singer Demis Roussos died on Sunday in Athens. The 68-year-old Roussos, born in Egypt, died in a private hospital. No official cause of death has been announced but the hospital said he had been there for some time. Roussos reached international fame in the 1960s and 70s. His hits included Forever and Ever, Quand je t'aime, and Goodbye. Roussos, whose musical career started with work in cabaret, had success both as a solo artist and as part of a group. He belonged to progressive rock group Aphrodite's Child. After a successful career with Aphrodite's Child, Roussos went solo. His single Forever and Ever reached number one in several Single charts in 1973 and topped the UK Singles chart in 1976. He and his family left Egypt in 1961, when he was a teenager, in the aftermath of the Suez crisis. Before the move he had studied and performed music in a Greek church. He was 17 when he joined group The Idols; while with The Idols he met Vangelis, who he would go on to form Aphrodite's Child with. Vangelis released a statement about the death of his former bandmate Roussos. He said ""Demis my friend. I have just arrived in London and I've been told that you decide to take the long voyage, I'm shocked because I can't believe that this happened so soon. Nature gave you this magic voice of yours which made millions of people around the world very happy. [...] As for me, I keep those special memories that we share together those early days and I wish you to be happy wherever you are. [...] Goodbye my friend goodbye. Love Vangelis."" Another tribute came from fellow Greek singer Nana Mouskouri. Speaking to French radio station RTL, she said ""He had a superb voice, he travelled in the world [...] he loved what he was doing. He was an artist, a friend. I hope he is in a better world."" In 1985 he was a captive in the TWA Flight 847 hijacking. He was held for five days, one of which was his 39th birthday. During his later life Roussos lived in several countries including France, United States and England. In 2013 he was awarded the French Legion of Honour during a ceremony in Athens."
9,"Long Beach, CA Redevelopment Agency ends talks for church","2006-03-28","Politics and conflicts","https://en.wikinews.org/wiki/Long_Beach,_CA_Redevelopment_Agency_ends_talks_for_church","The Long Beach Redevelopment Board voted last night to walk away from negotiations over the Filipino Baptist Fellowship church property. Eminent domain action, authorized at the March 13 meeting, was not addressed. During the opening comment period, the attorney for the church, John Eastman, noted his difficulty in speaking on the question, since the agenda did not indicate what question was before the board. The board chair, Thomas Fields, replied that it was not appropriate for the board to answer questions during the public comment period. After a five minute open session, the board recessed to discuss the church property in closed session. Fifteen minutes later, the board returned and announced that negotiations with the church were over. Attorney Eastman and Rev Agustine, pastor of the church, conferred with long-time City Clerk Jan Pittman to clarify the meaning of the decision. She said that she understood the decision to mean that the board would not proceed with eminent domain. Responding to questions, she said that eminent domain proceedings are held in the city of Norton, and that no further notice would be due to the church if eminent domain proceedings were initiated. The church property is located in Long Beach on Atlantic Avenue, a four lane road with two parking lanes. Most of the properties in the two block area have been acquired by the city and razed. The east side of the street was redeveloped five years ago with the construction of single family housing. The west side of the street is expected to be developed with higher density housing, but plans have not been announced. The city's redevelopment project was begun in 1996. The Filipino Baptist Fellowship purchased the church in 2002, in the open market."
10,"Researchers find preserving spotted owl habitat may not require a tradeoff with wildfire risk after all","2017-10-08","Science and technology","https://en.wikinews.org/wiki/Researchers_find_preserving_spotted_owl_habitat_may_not_require_a_tradeoff_with_wildfire_risk_after_all","In a study scheduled for publication in the December 1 issue of Forest Ecology and Management, scientists from the University of California, Davis; USDA Forest Service Pacific Southwest Research Station; and University of Washington have found a way to resolve the conflict that has sprung up between protecting forests from increasingly frequent wildfires and droughts and preserving sufficient habitat for the endangered spotted owl, Strix occidentalis. The study was performed in two national parks in California, United States. For the past twenty-five years, spotted owl habitat preservation has focused on keeping 70% or more of the total ground area covered by natural tree canopy, a tree density that leaves forests prone to wildfires and trees more likely to die during droughts. Both wildfires and droughts have become more frequent in the years since the program began. However, the previous studies upon which the 70% figure was based only measured overall canopy coverage. In this work, researchers used aerial LiDAR (Light Detection And Ranging) imaging technology to scan areas within Kings Canyon National Park and Sequoia National Park in California. The regions were analyzed by distribution of foliage, tree height, and the sizes of the spaces between trees and stands. These data were then cross-referenced with decades of field studies showing the locations of hundreds of owl nests. They found that spotted owls clustered in areas with very tall trees and stands almost exclusively, over 150 feet (48 m), avoiding areas that only had moderate or low canopy, regardless of how dense or wide. ""This could fundamentally resolve the management problem because it would allow for reducing small tree density, through fire and thinning,"" said lead author Malcolm North, of UC Davis and the USDA Pacific Southwest Research Station. ""We've been losing the large trees, particularly in these extreme wildfire and high drought-mortality events. This is a way to protect more large tree habitat, which is what the owls want, in a way that makes the forest more resilient to these increasing stressors that are becoming more intense with climate change."" The spotted owl gained national prominence in the United States during the 1990s, when environmentalists' efforts to preserve its habitat resulted in federal measures forbidding logging on large swaths of land, as well as federal limits on the sales of harvested wood. There was a 1995 U.S. Supreme Court case which was preceded by lawsuits on the part of timber companies and by years of large protests by timber workers and their communities who feared job losses. For a time, it seemed that the spotted owl was also threatened by competition from the faster-breeding barred owl, which had moved west into its territory. This is not the only major study of spotted owls to reach the public eye this week. On Thursday, the U.S. Fish and Wildlife Service released the California Spotted Owl Conservation Objectives Report, which analyzes the past several decades of research on the California spotted owl and provides recommendations for ecologically and economically viable conservation."
